ID,Label,Tweet
1,1,anal
2,1,anus
3,1,arse
4,1,ass
5,1,ballsack
6,1,bastard
7,1,bdsm
8,1,bitch
9,1,bimbo
10,1,blow job
11,1,blowjob
12,1,blue waffle
13,1,boob
14,1,booobs
15,1,breasts
16,1,booty call
17,1,boner
18,1,bondage
19,1,bullshit
20,1,busty
21,1,butthole
22,1,cawk
23,1,chink
24,1,clit
25,1,cnut
26,1,cock
27,1,cokmuncher
28,1,cowgirl
29,1,crap
30,1,crotch
31,1,cum
32,1,cunt
33,1,damn
34,1,dick
35,1,dildo
36,1,dink
37,1,deepthroat
38,1,deep throat
39,1,dog style
40,1,doggie style
41,1,doggy style
42,1,doosh
43,1,douche
44,1,duche
45,1,ejaculate
46,1,ejaculating
47,1,ejaculation
48,1,ejakulate
49,1,erotic
50,1,erotism
51,1,fag
52,1,fatass
53,1,femdom
54,1,fingering
55,1,footjob
56,1,foot job
57,1,fuck
58,1,fcuk
59,1,fingerfuck
60,1,fistfuck
61,1,fook
62,1,fooker
63,1,fuk
64,1,gangbang
65,1,gang bang
66,1,gaysex
67,1,handjob
68,1,hand job
69,1,hentai
70,1,hooker
71,1,hoer
72,1,homo
73,1,horny
74,1,incest
75,1,jackoff
76,1,jack off
77,1,jerkoff
78,1,jerk off
79,1,jizz
80,1,masturbate
81,1,mofo
82,1,mothafuck
83,1,motherfuck
84,1,milf
85,1,muff
86,1,nigga
87,1,nigger
88,1,nipple
89,1,nob
90,1,numbnuts
91,1,nutsack
92,1,nude
93,1,orgy
94,1,orgasm
95,1,panty
96,1,panties
97,1,penis
98,1,playboy
99,1,porn
100,1,pussy
101,1,pussies
102,1,rape
103,1,raping
104,1,rapist
105,1,rectum
106,1,retard
107,1,rimming
108,1,sadist
109,1,sadism
110,1,scrotum
111,1,sex
112,1,semen
113,1,shemale
114,1,she male
115,1,shit
116,1,slut
117,1,spunk
118,1,strip club
119,1,stripclub
120,1,tit
121,1,threesome
122,1,three some
123,1,throating
124,1,twat
125,1,viagra
126,1,vagina
127,1,wank
128,1,whore
129,1,whoar
130,1,xxx
131,1,xnxx
132,1,xhamster
133,1,Dildo
134,1,Cigarette
135,1,alchohol
136,0,love
137,0,Sairam 
138,0,happy
139,0,smile
140,0,kind
141,0,peace
142,0,joy
143,0,friend
144,0,love
145,0,help
146,0,gentle
147,0,laugh
148,0,hug
149,0,warm
150,0,kindness
151,0,sweet
152,0,care
153,0,clean
154,0,pure
155,0,honest
156,0,sincere
157,0,good
158,0,pleasant
159,0,respect
160,0,courteous
161,0,polite
162,0,optimistic
163,0,cheerful
164,0,bright
165,0,delight
166,0,hope
167,0,faith
168,0,patience
169,0,indness
170,0,Compassion
171,0,Gratitude
172,0,Generosity
173,0,Harmony
174,0,Serenity
175,0,amazing'
176,0,Fabulous
177,0,Fantaaabulous
178,0,fantabulous
179,0,phenomenol
180,0,amazing
181,0,phenomenol
182,0,mind blowing
183,0,god bless
184,0,inshallah
185,0,mashaallah
186,0,shabeer
187,0,Astounding
188,0,Stupendous
189,0,Sensational
190,0,Extraordinary
191,0,Magnificent
192,0,Splendid
193,0,Incredible
194,0,Phenomenal
195,0,Transcendent
196,0,Breathtaking
197,0,Exquisite
198,0,Sublime
199,0,Epic
200,0,Prodigious
201,0,Peerless
202,0,Resplendent
203,0,Awe-inspiring
204,0,Monumental
205,0,Majestic
206,0,Ethereal
207,0,Incomparable
208,0,Impeccable
209,0,Euphoric
210,0,Astonishing
211,0,Grandiose
212,0,Immaculate
213,0,Miraculous
214,0,Eclipsing
215,0,Serendipitous
216,0,Unparalleled
217,0,Supernal
218,0,Dazzling
219,0,Mythical
220,0,Divine
221,0,Radiant
222,0,Sublime
223,0,Exceptional
224,0,Spectacular
225,0,Outstanding
226,0,Majestic
227,0,Astounding
228,0,Regal
229,0,Awe-inspiring
230,0,Bewitching
231,0,Staggering
232,0,Imposing
233,0,Illustrious
234,0,Ravishing
235,0,Unfathomable
236,0,Unbelievable
237,0,Harmony
238,0,Nurturing
239,0,Genuine
240,0,Cherished
241,0,Tranquil
242,0,Delightful
243,0,Blissful
244,0,Resilient
245,0,Empowering
246,0,Exuberant
247,0,Affectionate
248,0,Wholesome
249,0,Jubilant
250,0,Harmonious
251,0,Tenderhearted
252,0,Gracious
253,0,Enchanting
254,0,Endearing
255,0,Glowing
256,0,Encouraging
257,0,Empathetic
258,0,Miraculous
259,0,Sweetheart
260,0,Captivating
261,0,Angelic
262,0,Sincere
263,0,Serene
264,0,Fulfilling
265,0,Tranquility
266,0,Heartfelt
267,0,Blessings
268,0,Comforting
269,0,Tender
270,0,Supportive
271,0,Cheerful
272,0,Empowered
273,0,Glorious
274,0,Valued
275,0,Empathy
276,0,Unconditional
