,label,Tweet,,,
1,0,love,,,
2,0,Sairam ,,,
3,0,happy,,,
4,0,smile,,,
5,0,kind,,,
6,0,peace,,,
7,0,joy,,,
8,0,friend,,,
9,0,love,,,
10,0,help,,,
11,0,gentle,,,
12,0,laugh,,,
13,0,hug,,,
14,0,warm,,,
15,0,kindness,,,
16,0,sweet,,,
17,0,care,,,
18,0,clean,,,
19,0,pure,,,
20,0,honest,,,
21,0,sincere,,,
22,0,good,,,
23,0,pleasant,,,
24,0,respect,,,
25,0,courteous,,,
26,0,polite,,,
27,0,optimistic,,,
28,0,cheerful,,,
29,0,bright,,,
30,0,delight,,,
31,0,hope,,,
32,0,faith,,,
33,0,patience,,,
34,0,indness,,,
35,0,Compassion,,,
36,0,Gratitude,,,
37,0,Generosity,,,
38,0,Harmony,,,
39,0,Serenity,,,
40,0,amazing,,,
41,0,Fabulous,,,
42,0,Fantaaabulous,,,
43,0,fantabulous,,,
44,0,phenomenol,,,
45,0,amazing,,,
46,0,phenomenol,,,
47,0,mind blowing,,,
48,0,god bless,,,
49,0,inshallah,,,
50,0,mashaallah,,,
51,0,shabeer,,,
52,0,Astounding,,,
53,0,Stupendous,,,
54,0,Sensational,,,
55,0,Extraordinary,,,
56,0,Magnificent,,,
57,0,Splendid,,,
58,0,Incredible,,,
59,0,Phenomenal,,,
60,0,Transcendent,,,
61,0,Breathtaking,,,
62,0,Exquisite,,,
63,0,Sublime,,,
64,0,Epic,,,
65,0,Prodigious,,,
66,0,Peerless,,,
67,0,Resplendent,,,
68,0,Aweinspiring,,,
69,0,Monumental,,,
70,0,Majestic,,,
71,0,Ethereal,,,
72,0,Incomparable,,,
73,0,Impeccable,,,
74,0,Euphoric,,,
75,0,Astonishing,,,
76,0,Grandiose,,,
77,0,Immaculate,,,
78,0,Miraculous,,,
79,0,Eclipsing,,,
80,0,Serendipitous,,,
81,0,Unparalleled,,,
82,0,Supernal,,,
83,0,Dazzling,,,
84,0,Mythical,,,
85,0,Divine,,,
86,0,Radiant,,,
87,0,Sublime,,,
88,0,Exceptional,,,
89,0,Spectacular,,,
90,0,Outstanding,,,
91,0,Majestic,,,
92,0,Astounding,,,
93,0,Regal,,,
94,0,Aweinspiring,,,
95,0,Bewitching,,,
96,0,Staggering,,,
97,0,Imposing,,,
98,0,Illustrious,,,
99,0,Ravishing,,,
100,0,Unfathomable,,,
101,0,Unbelievable,,,
102,0,Harmony,,,
103,0,Nurturing,,,
104,0,Genuine,,,
105,0,Cherished,,,
106,0,Tranquil,,,
107,0,Delightful,,,
108,0,Blissful,,,
109,0,Resilient,,,
110,0,Empowering,,,
111,0,Exuberant,,,
112,0,Affectionate,,,
113,0,Wholesome,,,
114,0,Jubilant,,,
115,0,Harmonious,,,
116,0,Tenderhearted,,,
117,0,Gracious,,,
118,0,Enchanting,,,
119,0,Endearing,,,
120,0,Glowing,,,
121,0,Encouraging,,,
122,0,Empathetic,,,
123,0,Miraculous,,,
124,0,Sweetheart,,,
125,0,Captivating,,,
126,0,Angelic,,,
127,0,Sincere,,,
128,0,Serene,,,
129,0,Fulfilling,,,
130,0,Tranquility,,,
131,0,Heartfelt,,,
132,0,Blessings,,,
133,0,Comforting,,,
134,0,Tender,,,
135,0,Supportive,,,
136,0,Cheerful,,,
137,0,Empowered,,,
138,0,Glorious,,,
139,0,Valued,,,
140,0,Empathy,,,
141,0,Unconditional,,,
142,0,Invigorating,,,
143,0,Adored,,,
144,0,Vibrant,,,
145,0,Jubilee,,,
146,0,Dreamy,,,
147,0,Trustworthy,,,
148,0,Dreamlike,,,
149,0,Peaceful,,,
150,0,Flourishing,,,
151,0,Marvelous,,,
152,0,Heartening,,,
153,0,Beloved,,,
154,0,Pure,,,
155,0,Priceless,,,
156,0,Harmonize,,,
157,0,Rejuvenating,,,
158,0,Compassion,,,
159,0,Joyous,,,
160,0,Sparkling,,,
161,0,Optimistic,,,
162,0,Heavenly,,,
163,0,Sunshine,,,
164,0,Enriching,,,
165,0,Gladden,,,
166,0,Resplendent,,,
167,0,Enthusiastic,,,
168,0,Gracefully,,,
169,0,Tenderness,,,
170,0,Cheerfulness,,,
171,0,Glittering,,,
172,0,Affirmative,,,
173,0,Kindhearted,,,
174,0,Luminous,,,
175,0,Blessedly,,,
176,0,Rejoicing,,,
177,0,Blissfully,,,
178,0,Reassuring,,,
179,0,Abundant,,,
180,0,Magical,,,
181,0,Devoted,,,
182,0,Sparkle,,,
183,0,Jubilance,,,
184,0,Vibrancy,,,
185,0,Tenderly,,,
186,0,Brightness,,,
187,0,Grateful,,,
188,0,Lovable,,,
189,0,Refreshing,,,
190,0,Supportive,,,
191,0,Enlivening,,,
192,0,Dreamily,,,
193,0,Angelically,,,
194,0,Heartwarming,,,
195,0,Spark,,,
196,0,Rejoice,,,
